OrganizationName,Spend,Impressions,Currency Codes,CandidateBallotInformation,PayingAdvertiserNames,Genders,AgeBrackets,CountryCodes,BillingAddresses,Regions (Included),Regions (Excluded),Interests,CreativeUrls
ACRONYM,134229,34364360,USD,,Our Lives Our Vote,,18-28,united states,US,Wisconsin,,"Cordcutters,Yoga Enthusiasts,Vegans & Organic Foodies,Hipsters & Trendsetters,Math & Science Enthusiasts,Men's Lifestyle,Philanthropists,Wellness & Healthy Lifestyle,Women's Lifestyle,TV Live Event Viewers (The Academy Awards),TV Live Event Viewers (The Emmy Awards),TV Live Event Viewers (The GRAMMY Awards),TV Live Event Viewers (The Golden Globe Awards),TV Network Viewers (A&E),TV Network Viewers (BBC America),TV Network Viewers (BET),TV Network Viewers (CNN),TV Network Viewers (Discovery Channel),TV Network Viewers (HBO),TV Network Viewers (IFC),TV Network Viewers (MSNBC),TV Network Viewers (PBS),TV Network Viewers (Showtime),TV Network Viewers (SundanceTV),TV Network Viewers (Viceland)",https://www.snap.com/political-ads/asset/108fe3903c1b2dfe48a7d9fa34c6f98f44dd4a29bde3baae71dd6a68d82e5c76?mediaType=png
Bully Pulpit Interactive,98636,18590894,USD,,NextGen America,,18-34,united states,"1445 New York Ave NW,Washington,20005,US",,,,https://www.snap.com/political-ads/asset/9944055166091faac050ff26e3e5f6aae70d3f85f4a5d9fc2243da761e4720f5?mediaType=mp4
Middle Seat Consulting  LLC,41183,10611356,USD,,Beto for Texas,,,united states,"Po Box 21600,Washington,20009,US",Texas,,,https://www.snap.com/political-ads/asset/5ef93a6df60367e9b9c2d901184ff686ee0c9085aac1ac58cbcedda64646ec6e?mediaType=mp4
GMMB  Inc,26940,6075282,USD,,JB for Governor,,18+,united states,"3050 K Street,Washington,20007,US",Illinois,,,https://www.snap.com/political-ads/asset/96c5d4b0270cb3a9c73d508c66317fb685d187f4d590dad0d0e4a762e6618eef?mediaType=mp4
Break Something,23980,3536570,USD,,Ammar Campa-Najjar for Congress,,18+,united states,"1768 Columbia Road NW #3,Washington,20009,US",,,"Advocates & Activists,Arts & Culture Mavens,Green Living Enthusiasts,Indie & Alternative Music Fans,Indie & Foreign Film Fans,Latin Music Fans,Political News Watchers,Urban & Hip-Hop Music Fans,Vegans & Organic Foodies,World Music Fans,TV Network Viewers (MSNBC),ZZ_Deprecated_1",https://www.snap.com/political-ads/asset/792db5e26e82c247c0d59a336c1e7693f0a04c84591a326e0996df6b296bff1b?mediaType=mp4
Dentsu Aegis Network France,23454,20803405,EUR,,SIG,,18+,france,"4, Place de Saverne,Courbevoie,92400,FR",,,"Automotive Enthusiasts,Candy & Sweets Lovers,Console & PC Gamers,Energy Drink Consumers,Fast Food Junkies,Film & TV Fans,Fun Trivia & Quiz Fanatics,Gamers",https://www.snap.com/political-ads/asset/feeec5590e826b73f8c34f50631cdc7e1ea66a45afd9d35661df8ac57743d900?mediaType=mp4
Centro LLC,21383,5766196,USD,,Save Animals Facing Extinction,,18-34,united states,"11 E. Madison Ave. 6th Floor,,,Chicago,60602,US",Nevada,,,https://www.snap.com/political-ads/asset/f9d969e1fc6e5120cf2a6f3f80505de7d5f24fa31cbef532e9c05fdc3f7f3acc?mediaType=mp4
Lockwood Strategy,20225,9522456,USD,,Change Now,,,united states,US,,,"TV Live Event Viewers (The Academy Awards),TV Live Event Viewers (The Emmy Awards),TV Live Event Viewers (The GRAMMY Awards),TV Live Event Viewers (The Golden Globe Awards),TV Network Viewers (ABC),TV Network Viewers (BBC America),TV Network Viewers (BET),TV Network Viewers (CBS),TV Network Viewers (CNN),TV Network Viewers (Comedy Central),TV Network Viewers (E!),TV Network Viewers (HBO),TV Network Viewers (MSNBC),TV Network Viewers (MTV),TV Network Viewers (NBC),TV Network Viewers (The CW),TV Network Viewers (VH1),TV Network Viewers (Viceland)",https://www.snap.com/political-ads/asset/754f6f633564cc6a107ae80210ce724269b5d1c8158df2079cf60746f82d77e8?mediaType=png
Chong and Koster,20032,10586971,USD,,Everytown for Gun Safety AF,,,united states,"1640 Rhode Island Ave. NW, Suite 600,Washington,20036,US",,,,https://www.snap.com/political-ads/asset/4f611f1cb8f16e7575105ccdf3c3e78a80b836c3d94f4e4c0273f118c56573c2?mediaType=png
Democratic Congressional Campaign Committee,18173,2919379,USD,,DCCC,,18+,united states,"430 S Capitol St SE,Washington,20003,US",,,,https://www.snap.com/political-ads/asset/78383855d3e98d76fc8867d0d948fa0e69e3103a3e830e9c1aa2903d699a3078?mediaType=mp4
Media Agent,17995,5981178,EUR,,Dansk_Folkeparti,,17+,denmark,"Østre alle 2 ,Værløse ,3500,DK",,,,https://www.snap.com/political-ads/asset/11284807b288ee0fad971b4907c495178de7e18764d8f0a37a5bcddf6a5ccc5d?mediaType=mp4
Reprise Media,17080,9486096,EUR,,Mejeriforeningen,,20-29,denmark,"Skt. Petri Passage 52 ,København K,1165,DK",,,,https://www.snap.com/political-ads/asset/b9b4286a298bf51ea13c00313041842b66e2d9bf1cc97457bf86130a40e4c27e?mediaType=mp4
Aisle 518 Strategies  LLC,15051,5273151,USD,,Friends of Chris Murphy,,18+,united states,US,Connecticut,,,https://www.snap.com/political-ads/asset/0563596765e8954715dd52e890e953f218647c1d58064dda7655549aa89a00a4?mediaType=mp4
Open Hand Media,14989,4375352,USD,,PPOSBC Community Action Fund PAC,,18-25,united states,"235 E. Broadway, Suite 320, Long Beach, CA,Long Beach,90803,US",,,,https://www.snap.com/political-ads/asset/049d08ffd0d5642fa4254fb7482dd7baad0a62ee1f1ea60ebe712160a7df0f33?mediaType=mov
Moore,14631,3084287,USD,,Florida Sheriff's Association,,18+,united states,"2011 Delta Blvd.,Tallahassee,32303,US",,,,https://www.snap.com/political-ads/asset/67fe112649e5f90d04831e37866c3f499edbdb73e2049273fe5a376e118b4e21?mediaType=mp4
Blueprint Interactive,14387,3573914,USD,,AFSCME Nevada,,18+,united states,"1730 Rhode Island Ave NW Suite 1014,Washington,20036,US",Nevada,,,https://www.snap.com/political-ads/asset/834016bae9a111b3b9c0563e9a848dd2cfe2862a80cc150b01045845073cca66?mediaType=jpg
Mothership Strategies,13025,3222471,USD,,Progressive Turnout Project,,18+,united states,"1328 Florida Avenue NW, Building C, Washington, DC,Washington,20009,US",,,,https://www.snap.com/political-ads/asset/6bfcd2d71d1a50bf43c64f4510b97231bc716db3accc1b539f00ec6d1b66aaf9?mediaType=png
The Aber Group,12977,8853765,CAD,,Plan International Canada,FEMALE,,canada,"202-120 Eglinton Avenue East,Toronto,M4P1E2,CA",,,,https://www.snap.com/political-ads/asset/af83131f02be495e87a22232573fcdc5a7754fc6de7fb004faf687952b5997f9?mediaType=mov
Dentsu Aegis Network,11477,9255039,GBP,,Home Office,FEMALE,18-24,united kingdom,"10 Triton Street,London,NW1 3BF,GB",,,"Gamers,Hipsters & Trendsetters,Men's Lifestyle,Outdoor & Nature Enthusiasts,Parents & Family-Focused,American Football Fans,Family Travelers,Wellness & Healthy Lifestyle,Women's Lifestyle",https://www.snap.com/political-ads/asset/a472e036c7b9df74a3e395dde058a0a411584d2567189fd07ce0153ff05572dd?mediaType=mp4
LoudDoor  LLC,10555,4159265,USD,,Paid For by Trooien For USSenate,,18+,united states,"1 MONCKTON BLVD,Columbia,29206,US",Minnesota,,,https://www.snap.com/political-ads/asset/9ff8ee20d0aaf12c42e6fce2f19cf2d241480963d343ff2faaaaed6bc80fd4ac?mediaType=mp4
Ardmore Advertising,10000,9981576,GBP,,Department of Justice NI,,16-24,united kingdom,GB,"Antrim and Newtownabbey,Belfast,Lisburn and Castlereagh,Newry Mourne and Down,Armagh Banbridge and Craigavon,Derry and Strabane,Ards and North Down,Causeway Coast and Glens,Mid and East Antrim,Fermanagh and Omagh,Mid Ulster",,,https://www.snap.com/political-ads/asset/85754dbf8aa2825ad07812493e65651e61fcdbe65b1b4ff281f5990cad5e716b?mediaType=mp4
Saguaro Strategies,9939,8735197,USD,,Josh Harder for Congress,,,united states,"2120 University Ave,Berkeley ,94704,US",,,,https://www.snap.com/political-ads/asset/7dec181478feb348854e9f201ecbddbec6c958a959c154705008f1b0f02fdb8a?mediaType=mp4
Carat Norge AS,9865,6743599,EUR,,VG,,15+,norway,"Pilestredet 8,Oslo,0180,NO",,,,https://www.snap.com/political-ads/asset/8bebf6b60ca0db15b0fb00a90ede2e731131e577007f380821605eedc0c96fe8?mediaType=mp4
Emmis Communcations,8946,5084439,USD,,Make Good Decisions,,18-20,united states,US,Indiana,,,https://www.snap.com/political-ads/asset/d13beb6715c4f2ded0b35086c053e60e0553611496e2bf536274f6666a6c2c10?mediaType=mp4
Congressman Pete King,8437,3143956,USD,,Pete King for Congress,,18+,united states,US,,,,https://www.snap.com/political-ads/asset/a9296e64fd989fa2bf3f9e975b84df703c9c31dad8362285ac599a3982160014?mediaType=mp4
Penna Powers,7992,3335544,USD,,Lieutenant Governor's Office,,18-34,united states,"1706 s major street,salt lake city,84115,US",Utah,,,https://www.snap.com/political-ads/asset/13be06142e32fd9a6ebb2d08f2328181b69d7058946006902061aecca15c6ade?mediaType=mp4
Ohio Democratic Party,7580,2734832,USD,,The Ohio Democratic Party,FEMALE,18-23,united states,US,,,,https://www.snap.com/political-ads/asset/d936787c6e588fd53ca1fb9a64a336aa425a85da34203caa16d6d6a07689ac20?mediaType=mp4
Amélie Company,6825,2272441,USD,,CDPHE,,20-,united states,"2601 Blake St, Ste 150,Denver,80205,US",Colorado,,,https://www.snap.com/political-ads/asset/073f7f7db330a09e8d9859fde15aadca31dc50d89971aa3a4931b4a6ce72bb60?mediaType=mp4
National Alliance on Mental Illness,6295,1666871,USD,,NAMI,,18-20,united states,"3803 N. Fairfax Dr., Suite 100,Arlington,22203,US",,,,https://www.snap.com/political-ads/asset/586a7169507689288d23a791f8d58703cfacf7e1161f09771780b8946b9d6935?mediaType=mp4
Republic of Media Ltd.,6015,8779805,GBP,,Scottish Government,,15-34,united kingdom,"4th Floor, Nova House,Edinburgh,EH3 9QQ,GB","Aberdeen City,Aberdeenshire,Angus,Argyll and Bute,Clackmannanshire,Dumfries and Galloway,Dundee City,East Ayrshire,East Dunbartonshire,East Lothian,East Renfrewshire,Falkirk,Fife,Glasgow City,Edinburgh,Highland,Midlothian,Moray,North Ayrshire,North Lanarkshire,Orkney Islands,Perth and Kinross,Renfrewshire,Scottish Borders,Shetland Islands,South Ayrshire,West Dunbartonshire,West Lothian",,,https://www.snap.com/political-ads/asset/4f42b075eb06213e0fde859cbc14b076e2b850d35a04f594039ddca8bc3913fd?mediaType=mp4
Cossette Health Inc.,5000,2691949,CAD,,WSPS,,16-22,canada,"32 Atlantic Avenue,Toronto,M6K 1X8,CA",Ontario,,,https://www.snap.com/political-ads/asset/7b0ece0a13e5a0c0eedf65a044cd49479c38bb336ee3b94ec5d814fc7ffb04e2?mediaType=mp4
Mouvement Réformateur,4954,3600057,EUR,,Mouvement Réformateur,,17-24,belgium,"Avenue de la Toison d'Or 84,Bruxelles,1060,BE",,,,https://www.snap.com/political-ads/asset/1c8568e3386973efb52a3a61956143ee740e4db298ce31129f7804f61605bd2b?mediaType=mp4
Manning Gottlieb OMD - OmniGOV,4923,2158576,GBP,,British Army,,25+,united kingdom,"10 Regents Wharf, All Saints Stree,London,N1 9RL,GB",,,"Action & Thriller Genre Fans,American Football Fans,Basketball Fans,Fight & Wrestling Fans,Fitness Enthusiasts,Gamers,Hockey Fans,Motor Sports Fans,Olympics Enthusiasts,Snow Sport Enthusiasts,Soccer Enthusiasts,Street Sport Enthusiasts,Superhero Film Fans,Urban & Hip-Hop Music Fans",https://www.snap.com/political-ads/asset/2d2c4a872197964decd371bb1a39c007871e2fe910b4dee53899edce4d4aa789?mediaType=mp4
Maxlead Services B.V.,4354,1815842,EUR,,Consumentenbond,,18-34,netherlands,"Wilhelminapark 17,Oegstgeest,2342 AD,NL",,,,https://www.snap.com/political-ads/asset/2f694dc2f5cfa837d5e625d51449c4d17f9fb1d960e0070b8807211ef97d2ede?mediaType=mp4
First Nations Health Authority,4020,1786395,CAD,,First Nations Health Authority,,34-,canada,"501-100 Park Royal South,Vancouver,V7T 1A2,CA",,,,https://www.snap.com/political-ads/asset/be4c8f0fe651c84618a392c7dff1b8b3776ce3f6fc6d926fb03e2ca5d5a8025d?mediaType=mp4
Kick Media Inc.,3973,2125332,CAD,,Alberta Health Services,,16-25,canada,"12420 - 104 Avenue,Edmonton,T5N 3Z9,CA",Alberta,,,https://www.snap.com/political-ads/asset/b9f4fc3e525eb7caf44b0898f43689076dc5926713319082672a2b7f22536909?mediaType=jpg
