ADID,CreativeUrl,Currency Code,Spend,Impressions,StartDate,EndDate,OrganizationName,BillingAddress,CandidateBallotInformation,PayingAdvertiserName,Gender,AgeBracket,CountryCode,Regions (Included),Regions (Excluded),Electoral Districts (Included),Electoral Districts (Excluded),Radius Targeting (Included),Radius Targeting (Excluded),Metros (Included),Metros (Excluded),Postal Codes (Included),Postal Codes (Excluded),Location Categories (Included),Location Categories (Excluded),Interests,OsType,Segments,Language,AdvancedDemographics,Targeting Connection Type,Targeting Carrier (ISP),CreativeProperties
e87f121952987a3c9c4b240b1e3804f09c967714e071088ad3f9bb83b498232b,https://www.snap.com/political-ads/asset/1114b4c2fd3ec7dc446a8caeb0b3b5b9273944617ad867e62637a6666bc6b4de?mediaType=mp4,GBP,2350,3177947,2020/01/16 09:00:00Z,2020/03/30 22:59:59Z,Ardmore Advertising,GB,,Department of Justice NI,,,united kingdom,,,,,,,Northern Ireland,,,,,,,,Provided by Advertiser,,,,,web_view_url:https://www.endingtheharm.com
328fd5256ac5efa1a8d72e2441f792fa87456c5df439e111c04b0b8124491207,https://www.snap.com/political-ads/asset/661259dc7e5fba729e4d99027460dfdb5b881b4d06fb6e9bf697005851836e10?mediaType=mp4,USD,718,306512,2019/10/18 20:49:11Z,2020/05/31 20:00:00Z,Blueprint Interactive,"1730 Rhode Island Ave NW Suite 1014,Washington,20036,US",,Rocky Mountain Values,FEMALE,18+,united states,,,,,latitude 39.7348;longitude -104.9653;radius 16.0,,,,,,,,,,Provided by Advertiser,,,,,web_view_url:https://www.rockymountainvalues.org/corygardnerfacts
65c975860543d5658bda5835911695ea59aec1ab0dd1a367aa52058af4a620c2,https://www.snap.com/political-ads/asset/76a7d45f38ba6d2efe1db3072ee37d049b98fd0030e847af78c162e2e1aaa4b0?mediaType=png,USD,86,22341,2020/02/11 23:16:18Z,2020/03/03 17:59:00Z,BCom Solutions,"919 Central Ave,Auburn,68305,US",,Verla Insko for State House,,25+,united states,,,,,,,,,"27510,27514,27516,27517",,,,,,Provided by Advertiser,,,,,web_view_url:https://verlainsko.com/
22282fda9419d508661777594875c45119defd402d338b84c866e86d580e625c,https://www.snap.com/political-ads/asset/b11f54da6d56adba2f42bc53fea52f1195c788c9a11749a2ab34c097182d8d3a?mediaType=mp4,USD,5936,621284,2019/11/18 20:00:00Z,2020/07/01 03:59:51Z,Assembly," 711 3rd Ave, New York, NY 10017,new york city,10017,US",,truth,,24-,united states,,,,,,,,,,,,,,,,,,,,web_view_url:https://pages.thetruth.com/tiq-this-is-quitting-snapchat-commercials/?cid=social_asm_snapchat_tiq_animated_ditchjuul_commercials_enlist_1324
129f13e9404fcf10c32b23653988b7cd29ebf3651905d77c9b9a883df038c579,https://www.snap.com/political-ads/asset/c104d8bf178d230e3c90b8ccc0cb62b39a33c1622c34e9433518c6feb7fbf87b?mediaType=mp4,USD,126,59622,2019/10/18 20:49:11Z,2020/05/31 20:00:00Z,Blueprint Interactive,"1730 Rhode Island Ave NW Suite 1014,Washington,20036,US",,Rocky Mountain Values,FEMALE,18+,united states,,,,,latitude 39.7348;longitude -104.9653;radius 16.0,,,,,,,,,,Provided by Advertiser,,,,,web_view_url:https://conservationco.org/cory-gardner-protect-coloradans-not-polluters/
8b71a68cd25b2c80eb06f1e4d233fc16305957efdc4d3cf7c3b802f583e8f124,https://www.snap.com/political-ads/asset/2bd76e3379c48a43e69a93c9e1566a018e0754d522b5bac0485a42ca321c7a9a?mediaType=mp4,USD,110399,93887715,2020/01/29 15:00:03Z,2020/05/01 03:59:59Z,Assembly," 711 3rd Ave, New York, NY 10017,new york city,10017,US",,truth,,15-17,united states,,,,,,,"Abilene - Sweetwater,Albany,Albany - Schenectady - Troy,Alpena,Anchorage,Atlanta,Augusta - Aiken,Austin,Bangor,Baton Rouge,Beaumont - Port Arthur,Billings,Butte - Bozeman,Cedar Rapids - Waterloo - Iowa City & Dubuque,Charleston,Charlotte,Charlottesville,Cheyenne - Scottsbluff,Colorado Springs - Pueblo,Columbia,Dallas - Ft. Worth,Davenport - Rhode Island - Moline,Dayton,Denver,Des Moines - Ames,Elmira (corning),Erie,Fargo - Valley City,Flint - Saginaw - Bay City,Ft. Smith - Fayetteville - Springdale - Rogers,Ft. Wayne,Gainesville,Glendive,Grand Junction - Montrose,Grand Rapids - Kalamazoo - Battle Creek,Great Falls,Green Bay - Appleton,Greensboro - High Point - Winston Salem,Greenville - New Bern - Washington,Greenville - Spartanburg - Asheville - Anderson,Harlingen - Weslaco - Brownsville - Mcallen,Harrisburg - Lancaster - Lebanon - York,Helena,Jacksonville,Johnstown - Altoona,Kansas City,Laredo,Lincoln & Hastings - Kearney,Lubbock,Macon,Marquette,Milwaukee,Minneapolis - St. Paul,Missoula,Nashville,New Orleans,North Platte,Odessa - Midland,Omaha,Phoenix (prescott),Portland,Presque Isle,Providence - New Bedford,Raleigh - Durham (fayetteville),Rapid City,Reno,Richmond - Petersburg,Salisbury,Salt Lake City,San Angelo,Sioux City,Springfield - Holyoke,St. Louis,Toledo,Traverse City - Cadillac,Tucson (sierra Vista),Twin Falls,Tyler - Longview,Victoria,Waco - Temple - Bryan,Washington,West Palm Beach - Ft. Pierce,Wichita Falls & Lawton,Wilkes Barre - Scranton - Hazleton,Wilmington,Yuma - El Centro",,,,,,,,Provided by Advertiser,en,,,,web_view_url:https://www.thetruth.com/articles/videos/ditch-juul?cid=social_asm_snapchat_ditchjuul_bellyflop_6_1517
26bd5aa8938f88d7c12c81dba96695d7337224399056c3e90a399018227e3f0b,https://www.snap.com/political-ads/asset/cf2186650f77e6168012e1c9ba44c2410ef3a52caf2e1ec5c6da3ba888781157?mediaType=png,USD,6,1816,2020/02/23 20:43:21Z,2020/03/04 00:30:00Z,Lockwood Strategy,US,,PACRONYM,,18+,united states,North Carolina,,,,,,,,,,,,,,,,,,,web_view_url:https://gtfo.civicengine.com/plan?utm_source=snap&utm_medium=paid-awr&utm_campaign=gtfo&utm_term=nc-map-v&utm_content=48DDF74C
0bba434cefd7ab7f521e064d2c488a8f64ae1fd4eaf51884bb0dee16bf82b913,https://www.snap.com/political-ads/asset/7c6d556b182f3f7660450686c1e809aca5799e27ac34f5f863dc37241549d743?mediaType=mp4,USD,10,7515,2020/03/19 00:00:00Z,2020/03/20 00:00:59Z,Accelerate Change,US,,Accelerate Change Network,,18+,united states,,,,,,,,,,,,,,,Provided by Advertiser,,,,,web_view_url:https://progresspop.org/2020/02/i-am-joaquin/?source=snapchatjoaquin
baf58ea3bd15f2a1c6b0b259ece25124723807b810e51b3aa31cdeb28fb96d45,https://www.snap.com/political-ads/asset/2bd76e3379c48a43e69a93c9e1566a018e0754d522b5bac0485a42ca321c7a9a?mediaType=mp4,USD,665,288447,2020/01/08 15:00:00Z,2020/04/01 03:59:59Z,Assembly," 711 3rd Ave, New York, NY 10017,new york city,10017,US",,truth,,18-24,united states,,,,,,,,,,,,,,,,en,,,,web_view_url:https://pages.thetruth.com/ditch-juul-snap-ad?cid=social_asm_snapchat_ditchjuul_bellyflop_leadgen_snapads_6_1824
bdf864da6215b380ccc2a0498d7bd17528f72e7a3fd2c84f481f925511500ff2,https://www.snap.com/political-ads/asset/cf2186650f77e6168012e1c9ba44c2410ef3a52caf2e1ec5c6da3ba888781157?mediaType=png,USD,698,87630,2020/02/06 06:28:43Z,2020/03/04 00:00:00Z,Lockwood Strategy,US,,PACRONYM,,18+,united states,Texas,,,,,,,,,,,,,,,,,,,web_view_url:https://gtfo.civicengine.com/plan?utm_source=snap&utm_medium=paid-cnv&utm_campaign=gtfo&utm_term=tx-map-v&utm_content=D63AFEB5
