OrganizationName,Spend,Impressions,Currency Codes,CandidateBallotInformation,PayingAdvertiserNames,Genders,AgeBrackets,CountryCodes,BillingAddresses,CreativeUrls,Interests,Regions (Included),Regions (Excluded)
Hawkfish LLC,1037149,261986265,USD,Mike Bloomberg 2020 Inc,"Mike Bloomberg 2020, Inc.",,24-38,united states,"909 Third Avenue,New York,10022,US",https://www.snap.com/political-ads/asset/aa6f0d388bcf118acbcbed6c859f26541f0070b60e381338ab7890675b8180e9?mediaType=mp4,,"Alabama,California,Colorado,Maine,Massachusetts,North Carolina,Tennessee,Texas,Utah,Vermont,Virginia,Idaho,Michigan,Mississippi,Missouri,North Dakota,Washington,Arizona,Florida,Illinois,Wyoming,Wisconsin,Connecticut,Delaware,Maryland,New York,Pennsylvania,Rhode Island,Ohio,Georgia,Minnesota,New Jersey",
Assembly,938018,423357722,USD,,truth,,18-24,united states,"711 3rd Ave, New York, NY 10017,new york city,10017,US",https://www.snap.com/political-ads/asset/0f806a65173a1a54c51296adae58d192ddce434df3ea3e79ec75fbdd011df204?mediaType=mp4,,,
Marud Khan,176162,198761687,USD,Donald Trump,Albbiom Marketing LLC,,,united states,"7050 W. Palmetto Rd. Suite 15-504,Boca raton,33433,US",https://www.snap.com/political-ads/asset/889fbb99fadc8c0e65b1209b2dfe087e5f1c29d2a93d9e376fa8dedfd6a9c579?mediaType=jpeg,,,Alaska
R/GA,89718,51554546,USD,,Planned Parenthood,FEMALE,18-24,united states,"450 W 33rd St,New York,10001,US",https://www.snap.com/political-ads/asset/0b35ce4f6e4e41defe4d06dbe06da8bba6ed9df8e463dd5af0d18b464b50eb2a?mediaType=mp4,,,
Australian Government Department of Finance,82301,43274167,AUD,,Department of Health,,15-19,australia,"100 Chalmers Street,Surry Hills,2010,AU",https://www.snap.com/political-ads/asset/ab013585ee9ec3b405a8308ca060e416d9936f029364540722e677295e71401a?mediaType=mp4,,,
Ciceron Inc,71167,31487919,USD,,Be the Match,,18-39,united states,"126 N. 3rd Street,Minneapolis,55401,US",https://www.snap.com/political-ads/asset/4300777c8782567e3dca84fff37af666fe53e42d1255066c3b1d0ef6f924ac1f?mediaType=mp4,,,
Data Sciences,51065,21191731,CAD,,"Rothmans, Benson & Hedges",,19+,canada,"423 rue St-Nicolas suite 400,Montreal,H2Y2P4,CA",https://www.snap.com/political-ads/asset/3e7b8fa16297b0f4c81e7c01724c3356817429b43c07541e112b4acfe9880750?mediaType=png,,,
Blueprint Interactive,41938,13096247,USD,,Planned Parenthood,,18-34,united states,"1730 Rhode Island Ave NW Suite 1014,Washington,20036,US",https://www.snap.com/political-ads/asset/80334fdaaa8a1e1ac2a87bb288add99b599eac26790951defa5e7ee40ff7a383?mediaType=mp4,"Urban & Hip-Hop Music Fans,Sneakerheads",,
Pete for America,30778,13693990,USD,Pete for America,Pete for America,,18+,united states,"202 S Michigan St,South Bend,46601,US",https://www.snap.com/political-ads/asset/977d5b6b0c39de44979dcb3402cc8661ec31556859d6fbfdcdfe3272089a7c83?mediaType=mp4,"Collegiates,Green Living Enthusiasts,Political News Watchers,TV Viewers (News)",Iowa,
Desautel Hege,20793,6226716,USD,,HCA,,18-24,united states,"315 W Riverside,Spokane,99201,US",https://www.snap.com/political-ads/asset/21efa158b581455f497e4e262535a8edcc84157cee318f43215391be6ef8f62c?mediaType=mp4,,Washington,
Opticomm,12700,2116624,GBP,Greenpeace,Greenpeace UK,,30+,united kingdom,"31 Old Nichol Street,London,,E2 7HR,GB",https://www.snap.com/political-ads/asset/1541bd8c973c48bade6c42a74255f0ea6c7570c2a22941057701a8a6c94a5daa?mediaType=mp4,,,
SOCIETY@M.E.,12217,9203214,CAD,,Covenant House,FEMALE,15-18,canada,"7236 rue Marconi,Montreal,H2R 2Z5,CA",https://www.snap.com/political-ads/asset/acd2031afc4d0f3cb2b33c92a8b6de3f51ea420c52561aa5030c9ce19f9bc3ec?mediaType=mp4,,Ontario,
Huddled Masses,11942,18315105,USD,,Rise Above Colorado,,17-,united states,"27 E 28th Street,New York ,10016,US",https://www.snap.com/political-ads/asset/a106bbb495796346390331a2cac1d38bcfd5a6164877baff9545051fffbc2986?mediaType=mp4;https://www.snap.com/political-ads/asset/2eda0c5f52634af307226259913448812385667ce99b6880e5aba4511f3a5189?mediaType=mp4;https://www.snap.com/political-ads/asset/1e5b3e56091931af117de5492aded2ec7775122bc64a8d7be0d98fc863197ffc?mediaType=mp4;https://www.snap.com/political-ads/asset/f749a4f16e6277e0b6b1e00b502f817e8af37ad16205cca64fcf8126e72affcd?mediaType=mp4,,Colorado,
GMMB  Inc,11530,3889872,USD,Friends for Foxx,Friends for Foxx,,25-40,united states,"3050 K Street,Washington,20007,US",https://www.snap.com/political-ads/asset/8ed71027cd10fa2c43f598b8a92bdbc84a1796a902c6ee52a7486ac43b2764ab?mediaType=mp4,,,
The Aber Group,11110,2055100,CAD,,Plan International Canada,,18+,canada,"202-120 Eglinton Avenue East,Toronto,M4P1E2,CA",https://www.snap.com/political-ads/asset/954bb2ee9f14481f264115fa9602322ba79ed8087769aa689e1dc654c78896a0?mediaType=mp4,,,
Chong and Koster,11023,11694302,USD,,National Women's Law Center,FEMALE,15-34,united states,"1640 Rhode Island Ave. NW, Suite 600,Washington,20036,US",https://www.snap.com/political-ads/asset/677a5dfc2420d0097b5ee45af0d26d74945f783d2b1ace4972c7e0a7d91e2711?mediaType=mp4,,,
Dentsu Aegis Network France,10495,25171080,EUR,,Education Nationale,,15-17,france,"4, Place de Saverne,Courbevoie,92400,FR",https://www.snap.com/political-ads/asset/a22c31e3778a1387fc8dc8b94e3212b2997984059d297b8cef51d451cece64c2?mediaType=mp4,,,
Better US Now,9765,5489677,USD,,Better US Now,,20+,united states,US,https://www.snap.com/political-ads/asset/19b141de2aa660bdece3234de01e6e2fd003d008f4ff7b5e3f45ef36caea66f3?mediaType=mp4,"Beachgoers & Surfers,Collegiates,Yoga Enthusiasts,Vegans & Organic Foodies,Concert & Festival Goers,Political News Watchers,Eco-Conscious Shoppers,Pet Owners",,
Lockwood Strategy,7645,1089779,USD,,PACRONYM,,18+,united states,US,https://www.snap.com/political-ads/asset/338ceabd566b70d7389209ef2f7882a66bd6dcd9f9280454bab9ff9087fc6f9c?mediaType=png,,North Carolina,
ACRONYM,7559,1055622,USD,,ACRONYM,,18+,united states,US,https://www.snap.com/political-ads/asset/5a8fc61870c3af22963e9daf42c6bf91984df8a14891068750574663d28fcba8?mediaType=png,,North Carolina,
Bully Pulpit Interactive,7477,4801179,USD,,United We Dream,,39-,united states,"1445 New York Ave NW,Washington,20005,US",https://www.snap.com/political-ads/asset/9449ce12cae037abb8f8046380bbd24f32e2852b444564fedd1cdcc0106f1a8c?mediaType=mp4,,"California,Colorado,North Carolina,New York,Florida,Georgia,New Mexico,Texas,Washington",
VICE Media LLC,6494,878199,USD,Register to Vote 2020,VICE Media Group,,18-34,united states,"49 South 2nd Street,Brooklyn,11249,US",https://www.snap.com/political-ads/asset/30e7d5a72960b253fc9207e1216855d35d1c7f653be383b0f7e43e3104456b88?mediaType=mp4,,,
Reprise Media,6072,3807631,EUR,,Sundhedsstyrelsen,MALE,20-24,denmark,"Skt. Petri Passage 52 ,København K,1165,DK",https://www.snap.com/political-ads/asset/76de19bfe2401c8a7ae2b2c38bd98bda1903349341f465876eebb6c59960363f?mediaType=mp4,,,
Næringslivets Hovedorganisasjon,5496,5729065,EUR,,Næringslivets Hovedorganisasjon,,31+,norway,"Middelthuns gate 27,Oslo,0368,NO",https://www.snap.com/political-ads/asset/721f03f66fb608cbb28035fa8c333aee0d595e785b54ec8c33edf523cb65d8c5?mediaType=mp4,,,
Republic of Media Ltd.,5290,3568198,GBP,,Scottish Government,,16-24,united kingdom,"4th Floor, Nova House,Edinburgh,EH3 9QQ,GB",https://www.snap.com/political-ads/asset/e2fdd5d70bcf74e1a528653963c793dc82da466aaec74682f477970d0dceca58?mediaType=mp4,,,
Parcon Media,5105,1698637,USD,,University of California,,18-30,united states,US,https://www.snap.com/political-ads/asset/7513ec034dac7f59120fdeccf535a732790209c28a9f360bbdedb5aadf8823eb?mediaType=mp4,,California,
Cossette Media Inc,5076,2534480,CAD,,OPC,,18-24,canada,"P.O. Box. 11613, Succ. Centre-ville,Montreal,H3C5V9,CA",https://www.snap.com/political-ads/asset/1094f5cdea3c6095c1eb4359607165d1f542bb53e44d200a18e9bf62d44e77d5?mediaType=mp4,,Quebec,
MediaCom Canada,4967,1729778,CAD,,University of British Columbia,,16-25,united states,"31 Adelaide St. East, PO Box 7060,Toronto,M5C2L6,CA",https://www.snap.com/political-ads/asset/1307b507c2414ccfa468b85c25454a03e4cdbed11b6539f37c086bf48fcbe75d?mediaType=mp4,,,
Rising Tide Interactive LLC,4664,2440884,USD,Voto Latino,Voto Latino,,18-35,united states,"1250 H St. NW,Washington,20005,US",https://www.snap.com/political-ads/asset/5e1d446d77e836984d6e8c92685a5cc56aafd2023d4332f15a7d866c94fad9b3?mediaType=mp4,,Texas,
Phoenix Advertising Group  Inc.,4266,2748330,CAD,,SGI,,16+,canada,"195-1621 Albert St,Regina,S4P 2S5,CA",https://www.snap.com/political-ads/asset/a533819b953983fbbbed33dbaa074deab8d42982962e39f962c54fc2f759ab5a?mediaType=mp4,,Saskatchewan,
Idium 1881 AS,4095,1468147,EUR,,Fellesforbundet,,18+,norway,"Rolf Wickstrøms vei 15,Oslo,0484,NO",https://www.snap.com/political-ads/asset/6e8ae6fed4cf99b711873ae5098ae9c1550a43b03a7af84664a9425ec2123dcf?mediaType=mp4,,,
BCom Solutions,3638,1298572,USD,,Great Schools for Great Kids,,18+,united states,"919 Central Ave,Auburn,68305,US",https://www.snap.com/political-ads/asset/529af544a495953726f8e2338c3a396c6dbc5293435cba50261383c8d2e5bdaa?mediaType=png,,,
Realtime Media,3152,805559,USD,Donald J Trump,Trump MAGA Committee,,18+,united states,"P.O. Box 13410,Arlington,22219,US",https://www.snap.com/political-ads/asset/203e43880acbd17aa86ba1f210fdec37342fcd94ae129c8473640a194101461d?mediaType=mp4,,,
FP1 Strategies,2593,343543,USD,,P4AHCF,,21+,united states,"3001 Washington Blvd,Arlington,22201,US",https://www.snap.com/political-ads/asset/fa5e71ed3b60c5e03ba4d7901b308ed0a60c2813aac0ad9d8724d0250bdbe007?mediaType=png,,,
All Rise Media AB,2578,1125984,EUR,,Cancerfonden,FEMALE,35+,sweden,"Eriksbergsgatan 8b ,Stockholm,11430,SE",https://www.snap.com/political-ads/asset/299cc69697e34ef1891ce462640976a4fb5e7e53e7230a58b8340dcd8f6aaba8?mediaType=jpg,,,
Avanza Advertising  LLC,2395,1237065,USD,Spring Break,FLHSMV,,16-39,united states,"5465 NW 36th St. Ste 100,Miami Springs,33166,US",https://www.snap.com/political-ads/asset/6189641585cf0330a57160811450d51d2ab3ae4f3623a8488a19196b23119b7d?mediaType=png,"Adventure Seekers,Advocates & Activists,Automotive Enthusiasts,Beachgoers & Surfers,Beauty Mavens,Collegiates,Film & TV Fans,Fitness Enthusiasts,Foodies,High Schoolers,Hipsters & Trendsetters,Men's Lifestyle,Music Fans,New Phone Seekers,Outdoor & Nature Enthusiasts,Automotive Shoppers,Cosmetics Shoppers,Discount & Thrifty Shoppers,Online Shoppers,Women's Fashion Shoppers,Sneakerheads,Social Drinkers,American Football Fans,Baseball Fans,Basketball Fans,College Basketball Fans,College Football Fans,Fight & Wrestling Fans,Soccer Enthusiasts,Street Sport Enthusiasts,Water Sport Enthusiasts,Techies & Gadget Fans,Frequent Travelers,Wellness & Healthy Lifestyle,Women's Lifestyle",Florida,
Southern Environmental Law Center,2391,1619741,USD,,SELC,,,united states,US,https://www.snap.com/political-ads/asset/37e9069e798b7372bba572d3b612d51c889dde7c474024fc8c19fecc19f2d9ea?mediaType=jpg,"Outdoor & Nature Enthusiasts,Outdoor Sports Gear Shoppers,Nature & Outdoor Destinations,Beaches,Parks & Gardens,Outdoorsy Destinations",Virginia,
Campax,1896,2771593,EUR,Aebischer,Campax Community,,,switzerland,CH,https://www.snap.com/political-ads/asset/c650b1fbd0a15f43f2f1951610d4274448baa72299d194facb948efc1b6a17b8?mediaType=mp4,,,
